;cole_naturaleza;cole_bilingue;cole_calendario;cole_jornada;fami_tieneautomovil;fami_estratovivienda;fami_tieneinternet;fami_tienecomputador;estu_edad_cat;desemp_ingles;avg_punt_global
0;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;No;No;<= 25;A-;Medium
1;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;No;No;<= 25;A1;High
2;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;No;No;<= 25;A2;High
3;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;No;Si;<= 25;A-;Very High
4;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;No;<= 25;A-;Medium
5;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;No;<= 25;A1;Medium
6;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;A-;Medium
7;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;A1;High
8;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;A2;High
9;OFICIAL;N;A;UNICA;No;Estrato 1 y 2;Si;Si;<= 25;B1;Very High
10;OFICIAL;N;A;UNICA;No;Estrato 3;No;No;<= 25;A-;Low
11;OFICIAL;N;A;UNICA;No;Estrato 3;No;No;<= 25;A1;Medium
12;OFICIAL;N;A;UNICA;No;Estrato 3;No;No;<= 25;A2;High
13;OFICIAL;N;A;UNICA;No;Estrato 3;No;Si;<= 25;A-;Low
14;OFICIAL;N;A;UNICA;No;Estrato 3;No;Si;<= 25;A1;High
15;OFICIAL;N;A;UNICA;No;Estrato 3;No;Si;<= 25;A2;Very High
16;OFICIAL;N;A;UNICA;No;Estrato 3;Si;No;<= 25;A-;Low
17;OFICIAL;N;A;UNICA;No;Estrato 3;Si;No;<= 25;A1;Medium
18;OFICIAL;N;A;UNICA;No;Estrato 3;Si;No;<= 25;A2;Medium
19;OFICIAL;N;A;UNICA;No;Estrato 3;Si;No;<= 25;B1;High
20;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A-;Medium
21;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A1;Medium
22;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;A2;High
23;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;B+;High
24;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;<= 25;B1;Very High
25;OFICIAL;N;A;UNICA;No;Estrato 3;Si;Si;>= 26;A-;Medium
26;OFICIAL;N;A;UNICA;No;Estrato 4;No;No;<= 25;A2;Very High
27;OFICIAL;N;A;UNICA;No;Estrato 4;Si;Si;<= 25;A2;High
28;OFICIAL;N;A;UNICA;No;Estrato 5 y 6;Si;Si;<= 25;A-;Medium
29;OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;No;Si;<= 25;A-;Low
30;OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;No;<= 25;A1;High
31;OFICIAL;N;A;UNICA;Si;Estrato 1 y 2;Si;Si;<= 25;A-;Low
